"offerID"|"name"
"bestbuy_647"|"HP - Envy 13.3in Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - HP Finish In Natural Silver"
"bestbuy_66"|"Acer - Aspire 5 17.3in Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black"
"bestbuy_665"|"HP - Pavilion 15.6in Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - HP Sand Blast Matte Finish In Mineral Silver"
"bestbuy_666"|"HP - Pavilion 15.6in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - HP Sand Blast Matte Finish In Ceramic White"
"bestbuy_668"|"HP - Pavilion Gaming 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive - HP Matte Finish In Shadow Black And Acid Green"
"bestbuy_674"|"HP - Pavilion x360 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silk Gold HP Finish In Natural Silver"
"bestbuy_675"|"HP - Pavilion x360 2-in-1 15.6in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - HP Finish In Natural Silver And Ash Silver"
"bestbuy_678"|"HP - ProBook 14in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"
"bestbuy_691"|"HP - ProBook 15.6in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"
"bestbuy_692"|"HP - ProBook 15.6in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Silver"
"bestbuy_696"|"HP - ProBook 15.6in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black"
"bestbuy_722"|"Lenovo - 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Platinum silver"
"bestbuy_724"|"Lenovo - 17.3in Laptop - Intel Core i5 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive + 128GB Solid State Drive - Black"
"bestbuy_730"|"Lenovo - 2-in-1 15.6in Touch-Screen Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce MX130 - 256GB Solid State Drive - Onyx Black"
"bestbuy_733"|"Lenovo - 330-15ARR 15.6in Laptop - AMD Ryzen 7 - 12GB Memory - AMD Radeon RX Vega 10 - 2TB Hard Drive - Platinum Gray"
"bestbuy_734"|"Lenovo - 330-15ARR Touch 15.6in Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - Platinum Gray"
"bestbuy_736"|"Lenovo - 330-15IKBR Touch 15.6in Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX150 - 1TB Hard Drive - Platinum Gray"
"bestbuy_744"|"Lenovo - 530S-14IKB 14in Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Onyx Black"
"bestbuy_745"|"Lenovo - 530S-14IKB 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx Black"
"bestbuy_749"|"Lenovo - 720S-15IKB 15.6in Laptop - Intel Core i7 - 4GB Memory - NVIDIA GeForce GTX 1050 Ti Max-Q - 256GB Solid State Drive - Iron Gray"
"bestbuy_750"|"Lenovo - 720S-15IKB 15.6in Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti Max-Q - 512GB Solid State Drive - Iron Gray"
"bestbuy_752"|"Lenovo - Flex 6-14ARR 2-in-1 14in Touch-Screen Laptop - AMD Ryzen 3 - 8GB Memory - 128GB Solid State Drive - Onyx Black"
"bestbuy_755"|"Lenovo - Flex 6-14IKB 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Onyx Black"
"bestbuy_756"|"Lenovo - Flex 6-14IKB 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx Black"
"bestbuy_758"|"Lenovo - Flex 6-14IKB 2-in-1 14in Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Onyx Black"
"bestbuy_765"|"Lenovo - Legion Y520 15.6in Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 Max-Q - 1TB Hard Drive - Black"
"bestbuy_799"|"Lenovo - ThinkPad E480 14in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"
"bestbuy_800"|"Lenovo - ThinkPad E480 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
