"name"|"offerID"
"HP EliteBook 830 G5 13.3in LCD Notebook"|"antonline_365"
"HP 15-db0000 15-db0040nr 15.6in Touchscreen LCD Notebook"|"antonline_286"
"HP - 15.6in Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - HP Finish In Smoke Gray And Ash Silver"|"bestbuy_584"
"HP 15DB0040NR 15 ryz5 2500 8g 1t tch w10 2c"|"savingslots_599"
"ASUS VivoBook X540YA DB02"|"howardcomputer_1055"
"Lenovo ThinkPad X1 Yoga Silver Laptop Computer"|"abt_117"
"Lenovo?ThinkPad X1 Yoga 20LF - Flip design - Core i5 8250U / 1.6 GHz - Win 10 Pro 64-bit - 8 GB RAM - 256 GB SSD TCG Opal Encryption 2 NVMe - 14in IPS touchscreen 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi Bluetooth - silver?(20LF000JUS)"|"macmall_542"
"Lenovo ThinkPad X1 Yoga 3rd Gen 20LF000JUS 14in Touchscreen LCD 2 in 1 Ultrabook"|"antonline_1032"
"Lenovo ThinkPad T580 20L9001KUS 15.6in LCD Notebook"|"antonline_636"
"Dell LATI5590K7G13 15.6 i7 8650u 8gb 256gb ssd"|"savingslots_272"
"Dell Inspiron 15 Gaming 7577"|"howardcomputer_1751"
"Asus ZenBook Flip 14 UX461UA-DS51T 14in Touchscreen LCD Notebook"|"antonline_1047"
"Dell 14in i5 8350U 8gb 500GB SATA"|"buydig_479"
"Asus ZenBook Flip Slate Gray Notebook Computer"|"abt_34"
"Dell Latitude 5490 14in LCD Notebook"|"antonline_1060"
"Lenovo 81EU0008US Ip 530s 14 i5 8gb 256gb"|"savingslots_513"
"Lenovo?330-15IKBR 81DE - Core i5 8250U / 1.6 GHz - Win 10 Home 64-bit - 8 GB RAM - 1 TB HDD (16 GB SSD cache) - DVD-Writer - 15.6in TN 1366 x 768 (HD) - UHD Graphics 620 - Wi-Fi Bluetooth - platinum gray?(81DE01M2US)"|"macmall_521"
"Lenovo IdeaPad 330-15IKB 81DE01M2US 15.6in LCD Notebook"|"antonline_587"
"Lenovo IdeaPad 530S-14IKB 81EU0008US 14in LCD Notebook"|"antonline_594"
"Lenovo - 530S-14IKB 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx Black"|"bestbuy_745"
"Hewlett Packard 15.6in 650G4 i57200U 4GB/500 PC"|"buydig_324"
"HP EliteBook 1040 G3 14in Notebook"|"antonline_362"
"HP ProBook 450 G5 15.6in LCD Notebook"|"antonline_56"
"Lenovo IdeaPad 330 Touch-15ARR 81D30001US 15.6in Touchscreen LCD Notebook"|"antonline_706"
"Lenovo?ThinkPad P71 Intel Core i7-7700HQ Quad-Core 2.80GHz Notebook PC - 8GB RAM 500GB HDD 17.3in FHD IPS LCD Gigabit Ethernet 802.11ac Bluetooth 4.1 Fingerprint Reader - Black?(20HK0013US)"|"macmall_308"
"Lenovo 20hk0013us p71win10pi78gb500gb3yr"|"massgenie_756"
"HP Inc.?SmartBuy ProBook 650 G4 8th Gen Intel Core i5-8250U 1.6GHz - 8GB RAM 256GB SSD NVMe 15.6in 1366 x 768 (HD) DVD-Writer UHD Graphics 620 Wi-Fi Bluetooth Windows 10 Pro 64-bit?(3YG31UTABA)"|"pcmg_216"
"HP ProBook 650 G4"|"howardcomputer_829"
"HP EliteBook 850 G4"|"antonline_413"
"HP - EliteBook 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"|"bestbuy_637"
